Wiek;Płeć;5 km Czas;Czas
22.0;M;1030.0;4456.0
31.0;M;1013.0;4462.0
26.0;M;1029.0;4483.0
31.0;M;1035.0;4490.0
27.0;M;1035.0;4496.0
32.0;M;1036.0;4505.0
28.0;K;1038.0;4520.0
33.0;M;1037.0;4533.0
39.0;M;1013.0;4539.0
42.0;M;1037.0;4550.0
49.0;M;1039.0;4561.0
45.0;M;1039.0;4575.0
33.0;M;1062.0;4578.0
31.0;M;1035.0;4580.0
38.0;K;1038.0;4614.0
42.0;M;1038.0;4616.0
30.0;M;1037.0;4623.0
25.0;M;1100.0;4626.0
32.0;M;1035.0;4643.0
47.0;M;1094.0;4680.0
53.0;M;1071.0;4698.0
35.0;M;1093.0;4709.0
31.0;M;1071.0;4725.0
28.0;M;1095.0;4735.0
44.0;M;1039.0;4765.0
34.0;M;1105.0;4786.0
45.0;M;1101.0;4790.0
34.0;M;1092.0;4794.0
32.0;M;1148.0;4796.0
37.0;M;1102.0;4799.0
39.0;M;1127.0;4816.0
35.0;M;1102.0;4817.0
41.0;M;1147.0;4825.0
36.0;M;1036.0;4834.0
22.0;M;1101.0;4834.0
32.0;M;1072.0;4836.0
36.0;M;1062.0;4836.0
33.0;K;1072.0;4840.0
45.0;M;1124.0;4841.0
43.0;M;1124.0;4844.0
35.0;M;1128.0;4851.0
44.0;M;1093.0;4852.0
43.0;M;1107.0;4858.0
29.0;M;1129.0;4861.0
33.0;M;1094.0;4865.0
49.0;M;1134.0;4865.0
23.0;M;1128.0;4869.0
49.0;M;1135.0;4872.0
49.0;M;1094.0;4877.0
40.0;M;1103.0;4878.0
44.0;M;1160.0;4878.0
31.0;M;1105.0;4881.0
49.0;M;1134.0;4883.0
44.0;M;1119.0;4887.0
31.0;M;1124.0;4889.0
22.0;M;1127.0;4889.0
23.0;M;1130.0;4890.0
45.0;M;1061.0;4891.0
20.0;M;1097.0;4895.0
38.0;M;1132.0;4898.0
27.0;M;1126.0;4904.0
28.0;M;1158.0;4905.0
43.0;M;1147.0;4912.0
30.0;M;1118.0;4912.0
33.0;M;1072.0;4914.0
39.0;M;1132.0;4920.0
45.0;M;1168.0;4921.0
47.0;M;1156.0;4925.0
33.0;M;1124.0;4926.0
;M;1115.0;4931.0
22.0;M;1124.0;4938.0
35.0;M;1131.0;4942.0
41.0;M;1143.0;4946.0
39.0;M;1147.0;4952.0
37.0;M;1139.0;4959.0
21.0;M;1134.0;4972.0
38.0;M;1140.0;4973.0
39.0;M;1163.0;4974.0
39.0;M;1133.0;4974.0
30.0;K;1139.0;4977.0
38.0;M;1127.0;4983.0
37.0;M;1183.0;4984.0
51.0;M;1169.0;4986.0
30.0;M;1175.0;4995.0
48.0;M;1144.0;4996.0
36.0;M;1158.0;4998.0
43.0;M;1193.0;5003.0
34.0;M;1179.0;5020.0
33.0;M;1103.0;5022.0
41.0;M;1155.0;5025.0
53.0;M;1180.0;5025.0
37.0;M;1129.0;5028.0
46.0;M;1136.0;5030.0
30.0;M;1137.0;5031.0
35.0;M;1141.0;5032.0
42.0;M;1152.0;5035.0
45.0;M;1128.0;5035.0
36.0;M;1166.0;5041.0
34.0;M;1158.0;5043.0
22.0;M;1171.0;5047.0
41.0;M;1132.0;5051.0
50.0;M;1201.0;5061.0
29.0;M;1162.0;5063.0
47.0;M;1212.0;5069.0
36.0;M;1132.0;5075.0
38.0;M;1149.0;5080.0
44.0;M;1143.0;5087.0
45.0;M;1144.0;5090.0
23.0;M;1161.0;5091.0
23.0;M;1202.0;5091.0
49.0;M;1174.0;5091.0
37.0;M;1166.0;5093.0
29.0;M;1199.0;5093.0
35.0;M;1191.0;5094.0
35.0;M;1182.0;5094.0
34.0;M;1179.0;5095.0
27.0;M;1193.0;5098.0
40.0;M;1178.0;5100.0
35.0;M;1202.0;5102.0
44.0;M;1147.0;5104.0
43.0;M;1145.0;5106.0
22.0;K;1188.0;5112.0
26.0;M;1130.0;5115.0
43.0;M;1189.0;5118.0
23.0;M;1202.0;5118.0
48.0;M;1201.0;5119.0
46.0;M;1163.0;5119.0
30.0;M;1166.0;5123.0
41.0;M;1163.0;5124.0
33.0;M;1224.0;5128.0
29.0;M;1171.0;5130.0
43.0;M;1181.0;5131.0
42.0;M;1171.0;5132.0
28.0;M;1170.0;5133.0
41.0;M;1214.0;5133.0
50.0;M;1130.0;5134.0
42.0;M;1134.0;5134.0
26.0;K;1171.0;5135.0
35.0;M;1144.0;5137.0
33.0;K;1181.0;5140.0
37.0;M;1202.0;5142.0
29.0;M;1133.0;5142.0
33.0;M;1175.0;5145.0
